country;club
Austria;RB Salzburg
Belgium;Club Brugge
Croatia;Dinamo Zagreb
Czech Rep.;Viktoria Plzen
Denmark;FC Copenhagen
England;Manchester City
England;Liverpool
England;Chelsea
England;Tottenham Hotspur
France;PSG
France;Olympique Marseille
Germany;Bayern Munich
Germany;Borussia Dortmund
Germany;Bayer Leverkusen
Germany;RB Leipzig
Germany;Eintracht Frankfurt
Israel;Maccabi Haifa
Italy;AC Milan
Italy;Inter Milan
Italy;Napoli
Italy;Juventus
Netherlands;Ajax
Portugal;Benfica
Portugal;Porto
Portugal;Sporting CP
Scotland;Celtic
Scotland;Rangers
Spain;Real Madrid
Spain;Barcelona
Spain;Atletico Madrid
Spain;Sevilla
Ukraine;Shakhtar Donetsk